 ,f_content,f_ip,f_city
2018/1/12 9:24,在下面输入框中输入一句话点击提交即可得到分词结果！,::1,本地
2018/1/12 14:05,在下面输入框中输入一句话点击提交即可得到分词结果>！,111.30.23.191,中国|华北|天津市|天津市|移动
2018/1/12 14:05,在下面输入框中输入一句话点击提交即可得到分词结果>！,111.30.23.191,中国|华北|天津市|天津市|移动
2018/1/15 8:49,搜索引擎模式，在精确模式的基础上，对长词再次切分，提高召回率，适合用于搜索引擎分词。,::1,本地
2018/1/15 8:52,搜索引擎模式，在精确模式的基础上,::1,本地
2018/1/15 8:53,面输入框中输入一句话点击提交即,::1,本地
2018/1/15 8:55,面输入框中输入一句,::1,本地
2018/1/15 8:55,长词再次切分，提高召,::1,本地
2018/1/15 8:56,话点击提,::1,本地
2018/1/15 9:49,精确模式,::1,本地
2018/1/18 14:49,擎模式，在精确模式的基础上，对长词再次,::1,本地
2018/1/22 13:14,面输入框中输入一句话点,::1,本地
2018/1/22 13:18,我爱北京天安门,::1,本地
2018/1/22 13:18,我爱北京天安门,::1,本地
2018/1/22 13:27,中输入一句话点击提交即可得,::1,本地
